Variable,Importance
drive_play_count,0.256789538934906
def_ypa,0.10969179050200879
ydstogo,0.05797011931618122
half_seconds_remaining,0.05022044132398301
defenders_in_box,0.04812474759024414
play_type_run,0.04481708788640206
leverage_score,0.04235724002959345
score_differential,0.031181612281147686
play_type_pass,0.027469497553991497
game_temperature,0.02633810139276488
long_down_distance,0.023708791833489222
wind,0.02210144792683313
down_X3,0.021573377314073414
play_type_qb_kneel,0.019824698730374856
down_X2,0.014250330930749278
offense_formation_SINGLEBACK,0.011758083035516531
down_X4,0.00956608601803323
qtr,0.009316009718432555
two_min_warning_X1,0.008971753311748825
offense_formation_unknown,0.007537309139481563
