threshold,precision,recall,f_meas
0.1,0.17417374202523145,0.9973904683422606,0.29655946911689635
0.15000000000000002,0.1819353208691258,0.9890124982832028,0.3073344572245577
0.2,0.18841576302565458,0.9784370278807856,0.31598323390477034
0.25,0.19346761322987177,0.9656640571350089,0.32235288723838346
0.30000000000000004,0.19897193022987178,0.946298585359154,0.3288076546803789
0.35,0.20633638763783196,0.9123746738085428,0.33655892187658326
0.4,0.21776002242781048,0.8534541958522182,0.34698606806823573
0.45000000000000007,0.2331946755407654,0.7699491828045598,0.3579706905909773
0.5,0.2518354982800226,0.6736711990111248,0.3666193287988639
0.55,0.2749248839114996,0.5529460238978162,0.36725199543899656
0.6,0.2995154139602021,0.39898365609119624,0.3421672555948174
0.65,0.3297728043404544,0.26713363548963054,0.2951665528492298
0.7000000000000001,0.3663084702907712,0.15918143112209862,0.2219243657252274
0.75,0.4427217915590009,0.07059469853042165,0.12177209192134565
0.8,0.5017301038062284,0.019914846861694823,0.038309114927344776
0.85,0.6666666666666666,0.004395000686718858,0.00873243280120071
0.9,0.42857142857142855,4.1203131437989287e-4,8.232711306256861e-4
